TABLE_NAME,STATE_CODE,DISTRICT_CODE,TOWN_CODE,AREA_NAME,MOTHER_TONGUE_CODE,MOTHER_TONGUE_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M, RURAL_F,URBAN_P,URBAN_M, URBAN_F
C0116,28,000,000000,ANDHRA PRADESH,007000,7 KANNADA,134192,67285,66907,0,0,0,134192,67285,66907
C0116,28,000,000000,ANDHRA PRADESH,007002, Badaga,36,13,23,0,0,0,36,13,23
C0116,28,000,000000,ANDHRA PRADESH,007016, Kannada,133931,67154,66777,0,0,0,133931,67154,66777
C0116,28,000,000000,ANDHRA PRADESH,007041, Prakritha/Prakritha Bhasha,19,11,8,0,0,0,19,11,8
C0116,28,000,000000,ANDHRA PRADESH,007999,7 Others,206,107,99,0,0,0,206,107,99
C0116,28,000,000000,ANDHRA PRADESH,008000,8 KASHMIRI ,549,335,214,0,0,0,549,335,214
C0116,28,000,000000,ANDHRA PRADESH,008005, Kashmiri,540,328,212,0,0,0,540,328,212
C0116,28,000,000000,ANDHRA PRADESH,008010, Kishtwari,2,1,1,0,0,0,2,1,1
C0116,28,000,000000,ANDHRA PRADESH,008019, Dardi,7,6,1,0,0,0,7,6,1
C0116,28,000,000000,ANDHRA PRADESH,009000,9 KONKANI,2574,1216,1358,0,0,0,2574,1216,1358
C0116,28,000,000000,ANDHRA PRADESH,009011, Konkani,2526,1188,1338,0,0,0,2526,1188,1338
C0116,28,000,000000,ANDHRA PRADESH,009013, Kudubi/Kudumbi,7,3,4,0,0,0,7,3,4
C0116,28,000,000000,ANDHRA PRADESH,009016, Malwani,2,1,1,0,0,0,2,1,1
C0116,28,000,000000,ANDHRA PRADESH,009028, Gorboli/Goru/Gorwani,25,15,10,0,0,0,25,15,10
C0116,28,000,000000,ANDHRA PRADESH,009999,9 Others,14,9,5,0,0,0,14,9,5
C0116,28,000,000000,ANDHRA PRADESH,010000,10 MAITHILI ,1185,675,510,0,0,0,1185,675,510
C0116,28,000,000000,ANDHRA PRADESH,010008, Maithili,1179,671,508,0,0,0,1179,671,508
C0116,28,000,000000,ANDHRA PRADESH,010013, Thati,6,4,2,0,0,0,6,4,2
C0116,28,000,000000,ANDHRA PRADESH,011000,11 MALAYALAM,52740,25837,26903,0,0,0,52740,25837,26903
C0116,28,000,000000,ANDHRA PRADESH,011016, Malayalam,52730,25834,26896,0,0,0,52730,25834,26896
C0116,28,000,000000,ANDHRA PRADESH,011026, Yerava,4,2,2,0,0,0,4,2,2
C0116,28,000,000000,ANDHRA PRADESH,011999,11 Others,6,1,5,0,0,0,6,1,5
