AREA_NAME,ASSAMESE,BENGALI ,BODO ,DOGRI ,GUJARATI,Others,HINDI ,KANNADA,KASHMIRI ,KONKANI,MAITHILI ,MALAYALAM,MANIPURI ,MARATHI ,NEPALI ,ODIA ,PUNJABI ,SANSKRIT ,SINDHI,TAMIL ,TELUGU ,URDU,ADI ,ARABIC/ARBI ,BHOTIA ,COORGI/KODAGU ,ENGLISH ,KHASI ,KUKI,KURUKH/ORAON ,LAHNDA ,Others ,LUSHAI/MIZO ,MARAM,MUNDA,MUNDARI ,NISSI/DAFLA ,SAVARA,TIBETAN ,TULU ,OTHERS,SANTALI ,AFGHANI/KABULI/PASHTO ,ANAL ,ANGAMI ,AO ,BHILI/BHILODI ,BHUMIJ ,CHAKRU/CHOKRI ,DIMASA ,GANGTE ,GARO ,GONDI,HALAM ,HMAR,HO,KABUI ,KARBI/MIKIR ,KHANDESHI,KHARIA ,KHEZHA ,KISAN ,KOCH ,KODA/KORA ,KOM,KONDA,KORKU ,KORWA ,KUI ,LADAKHI ,LAHAULI ,LAKHER,LEPCHA ,LIMBU ,LOTHA ,MAO,MARING ,MISHMI ,MOGH ,MONPA ,NICOBARESE ,PAITE,PARJI ,POCHURY,RABHA ,RENGMA ,SANGTAM ,SEMA,TANGKHUL ,THADO ,TRIPURI ,VAIPHEI ,ZELIANG ,ZEMI ,KINNAURI ,MALTO ,RAI ,TAMANG ,CHAKHESANG ,CHANG ,HALABI,KOLAMI ,MIRI/MISHING,SHERPA ,TANGSA,YIMCHUNGRE,BISHNUPURIYA,DEORI ,GADABA ,JATAPU ,KHIEMNUNGAN,KHOND/KONDH ,KONYAK ,NOCTE ,SHINA,WANCHO,ZOU ,KOYA ,LIANGMEI ,PHOM ,BALTI ,PAWI ,JUANG ,LALUNG 
MEGHALAYA,11420,60870,1940,208.0,211,6,44440,340,26.0,53,789.0,1195,3508.0,4149,36887,688,3880,3.0,230.0,657,768,1839,337.0,4.0,177.0,1.0,206,287965.0,1206.0,131.0,5.0,15.0,4139.0,0.0,72.0,18.0,294.0,16.0,472.0,15.0,3314,72.0,6.0,180.0,70.0,395.0,6.0,0.0,10.0,66.0,275.0,113324.0,0.0,52.0,1351.0,2.0,157.0,171.0,0.0,11.0,16.0,0.0,1130.0,3.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0,11.0,1.0,209.0,183.0,0.0,27.0,4.0,82.0,0.0,677.0,0.0,0.0,1168.0,46.0,22.0,55.0,805.0,412.0,367.0,418.0,31.0,25.0,0.0,0.0,0.0,10.0,22.0,9.0,0.0,0.0,51.0,0.0,37.0,18.0,276.0,21.0,0.0,1.0,0.0,1.0,24.0,69.0,0.0,104.0,284.0,1.0,33.0,13.0,0.0,4.0,0.0,23.0
MIZORAM,1008,11063,178,152.0,42,1,8608,155,16.0,43,85.0,615,1989.0,216,8123,234,265,0.0,0.0,227,230,78,24.0,35.0,1.0,1.0,48,526.0,187.0,38.0,0.0,6.0,499431.0,2.0,14.0,3.0,21.0,1.0,1.0,0.0,2999,708.0,0.0,3.0,9.0,35.0,10.0,9.0,5.0,22.0,203.0,68.0,0.0,88.0,3815.0,2.0,13.0,7.0,0.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,14050.0,3.0,1.0,7.0,11.0,2.0,2.0,116.0,4.0,0.0,4577.0,0.0,0.0,7.0,7.0,1.0,5.0,18.0,263.0,1175.0,167.0,8.0,15.0,1.0,0.0,20.0,14.0,3.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,42.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,49.0,10.0,0.0,0.0,0.0,0.0,9501.0,0.0,0.0
NAGALAND,8340,50976,2659,607.0,190,21,45662,185,38.0,27,1154.0,1987,7081.0,1587,21735,2287,1050,0.0,16.0,763,830,769,47.0,16.0,133.0,1.0,256,235.0,3215.0,255.0,1.0,16.0,987.0,170.0,122.0,50.0,57.0,10.0,191.0,0.0,51029,37.0,5.0,78.0,53731.0,86873.0,15.0,10.0,13521.0,140.0,10.0,759.0,10.0,2.0,54.0,9.0,3154.0,308.0,4.0,30.0,7518.0,8.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,1.0,50629.0,6127.0,59.0,5.0,0.0,7.0,0.0,92.0,9.0,1046.0,46.0,9866.0,20787.0,5724.0,1399.0,31.0,231.0,99.0,13707.0,1042.0,0.0,0.0,2.0,95.0,7602.0,17648.0,0.0,0.0,27.0,6.0,88.0,13274.0,114.0,2.0,0.0,0.0,6694.0,1.0,32399.0,44.0,0.0,48.0,13.0,3.0,395.0,10532.0,0.0,1.0,0.0,7.0
ODISHA,706,142922,14,148.0,12899,184,546623,679,54.0,135,2066.0,5322,175.0,4295,6651,5433964,17465,228.0,2211.0,4330,310699,297982,7.0,55.0,0.0,323.0,1080,5.0,13.0,15556.0,102.0,27.0,13.0,1.0,36616.0,7073.0,1.0,3388.0,20.0,40.0,17770,53543.0,12.0,0.0,3.0,0.0,105.0,431.0,0.0,3.0,0.0,226.0,742.0,1.0,0.0,23451.0,6.0,1.0,1.0,10717.0,0.0,16273.0,6.0,194.0,5.0,8.0,0.0,108.0,21161.0,133.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,14.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,184.0,96.0,5.0,0.0,1.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0,1582.0,0.0,0.0,1.0,0.0,0.0,767.0,0.0,0.0,0.0,0.0,104.0,0.0
PUDUCHERRY,74,1432,4,8.0,1408,4,5495,1710,30.0,97,14.0,47627,21.0,842,329,1440,115,7.0,94.0,711139,71827,8027,5.0,41.0,4.0,3.0,503,5.0,5.0,9.0,1.0,1.0,2.0,2.0,13.0,3.0,4.0,8.0,10.0,31.0,364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNJAB,3494,21520,213,11487.0,10577,1,1835736,3299,2320.0,133,6508.0,8790,831.0,18718,17373,8308,8383222,103.0,664.0,9056,8562,16672,28.0,313.0,16.0,8.0,1215,83.0,225.0,143.0,24399.0,2.0,466.0,1.0,132.0,107.0,240.0,5.0,176.0,4.0,2794,167.0,43.0,18.0,5.0,11.0,266.0,0.0,0.0,14.0,3.0,34.0,11.0,5.0,37.0,23.0,1.0,0.0,72.0,65.0,1.0,6.0,1.0,2.0,9.0,0.0,0.0,18.0,0.0,74.0,0.0,1.0,2.0,4.0,14.0,1.0,0.0,1.0,5.0,4.0,0.0,26.0,0.0,4.0,4.0,1.0,0.0,4.0,17.0,17.0,83.0,4.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,28.0,0.0,1.0,0.0,0.0,0.0,8.0,14.0,2.0,5.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
RAJASTHAN,1905,50235,80,3537.0,38454,3,15533566,4292,1792.0,115,9020.0,18008,873.0,16338,5787,11000,414071,914.0,233904.0,6489,5802,551177,191.0,498.0,4.0,0.0,4118,14.0,52.0,73.0,3768.0,1.0,151.0,1.0,1028.0,24.0,49.0,5.0,37.0,58.0,5364,102.0,124.0,7.0,3.0,5.0,123234.0,2.0,6.0,0.0,6.0,21.0,482.0,12.0,2.0,366.0,15.0,1.0,53.0,40.0,5.0,0.0,1.0,0.0,7.0,0.0,1.0,7.0,0.0,26.0,0.0,24.0,0.0,1.0,7.0,250.0,0.0,8.0,2.0,2.0,0.0,4.0,1.0,0.0,251.0,0.0,0.0,0.0,12.0,5.0,144.0,1.0,0.0,0.0,3.0,0.0,8.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
SIKKIM,298,4030,19,51.0,112,7,30648,90,19.0,19,244.0,370,211.0,552,90669,550,250,0.0,0.0,215,296,1404,2.0,9.0,12673.0,0.0,52,15.0,0.0,18.0,0.0,21.0,12.0,0.0,15.0,7.0,1.0,0.0,1069.0,0.0,926,30.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,7.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3768.0,1533.0,0.0,4.0,0.0,0.0,0.0,1.0,25.0,4.0,0.0,0.0,7.0,0.0,0.0,1.0,9.0,13.0,5.0,0.0,0.0,0.0,2.0,0.0,472.0,1454.0,0.0,5.0,0.0,0.0,0.0,1333.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAMIL NADU,1920,20454,54,885.0,257161,1,344718,591530,413.0,5876,266.0,616912,568.0,66606,5912,13967,6171,743.0,8390.0,29657137,2260418,1021050,23.0,810.0,4.0,147.0,22216,24.0,32.0,455.0,17.0,40.0,110.0,0.0,121.0,37.0,29.0,51.0,234.0,2305.0,7934,109.0,14.0,1.0,24.0,5.0,830.0,1.0,5.0,49.0,3.0,6.0,249.0,5.0,5.0,11.0,2.0,1.0,11.0,15.0,3.0,3.0,3.0,5.0,6.0,10.0,12.0,6.0,4.0,9.0,29.0,16.0,7.0,1.0,9.0,9.0,2.0,1.0,7.0,23.0,76.0,12.0,5.0,15.0,1.0,2.0,4.0,33.0,14.0,26.0,20.0,6.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIPURA,1088,882641,103,219.0,183,4,21198,196,26.0,4,114.0,573,6885.0,550,1826,2056,361,1.0,4.0,360,447,99,7.0,172.0,3.0,0.0,27,25.0,95.0,360.0,0.0,2.0,250.0,0.0,74.0,11.0,6.0,348.0,1.0,3.0,299,111.0,1.0,2.0,2.0,81.0,9.0,0.0,0.0,11.0,0.0,1203.0,14.0,1311.0,4.0,4.0,8.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,5.0,0.0,0.0,827.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,4.0,35452.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,1712.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
UTTAR PRADESH,7867,111618,178,2426.0,8734,4,38042721,5095,6003.0,305,16136.0,22169,961.0,21384,14800,17058,175977,1668.0,28007.0,13466,12962,5968862,33.0,2820.0,199.0,12.0,7194,46.0,143.0,702.0,539.0,1.0,180.0,0.0,223.0,78.0,27.0,13.0,57.0,72.0,2059,422.0,5.0,9.0,13.0,22.0,794.0,35.0,0.0,12.0,9.0,20.0,176.0,0.0,0.0,25.0,12.0,4.0,198.0,116.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,42.0,2.0,12.0,6.0,5.0,25.0,16.0,0.0,35.0,1.0,2.0,0.0,8.0,16.0,0.0,2.0,1.0,0.0,15.0,12.0,10.0,60.0,1.0,0.0,2.0,8.0,2.0,12.0,0.0,0.0,2.0,33.0,1.0,0.0,7.0,1.0,7.0,8.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,11.0,10.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
UTTARAKHAND,983,49054,30,1613.0,1939,20,2605427,908,749.0,66,4929.0,2167,331.0,4049,35064,2379,81921,246.0,960.0,1960,2233,238859,74.0,138.0,2958.0,8.0,934,10.0,1.0,504.0,69.0,8.0,53.0,2.0,39.0,47.0,37.0,1.0,5043.0,10.0,1511,105.0,69.0,71.0,25.0,45.0,56.0,0.0,2.0,0.0,6.0,19.0,1.0,1073.0,6.0,4.0,20.0,0.0,1.0,14.0,0.0,0.0,0.0,4.0,15.0,1.0,0.0,0.0,0.0,69.0,0.0,1.0,118.0,4.0,18.0,39.0,9.0,6.0,0.0,12.0,0.0,8.0,0.0,9.0,0.0,5.0,3.0,5.0,47.0,5.0,22.0,0.0,0.0,0.0,33.0,0.0,24.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0
WEST BENGAL,3636,22510185,3200,865.0,37230,359,4328190,1288,260.0,451,21197.0,9253,1517.0,9895,340038,126306,52236,134.0,5257.0,13995,84426,1331754,10.0,1186.0,2420.0,1.0,13599,137.0,136.0,12223.0,8.0,3.0,412.0,0.0,2807.0,660.0,9.0,1330.0,6010.0,34.0,14063,145221.0,93.0,12.0,16.0,51.0,161.0,70.0,9.0,3.0,1.0,180.0,37.0,5.0,22.0,851.0,13.0,4.0,0.0,468.0,1.0,6.0,29.0,3988.0,3.0,14.0,0.0,1433.0,0.0,13.0,0.0,3.0,662.0,83.0,65.0,14.0,8.0,37.0,52.0,6.0,1.0,42.0,0.0,1.0,145.0,5.0,1.0,4.0,20.0,42.0,68.0,14.0,3.0,0.0,15.0,541.0,76.0,1307.0,3.0,2.0,0.0,0.0,4.0,645.0,0.0,5.0,25.0,0.0,4.0,4.0,3.0,0.0,9.0,7.0,1.0,6.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
