AREA_NAME,ASSAMESE,BENGALI ,BODO ,DOGRI ,GUJARATI,Others,HINDI ,KANNADA,KASHMIRI ,KONKANI,MAITHILI ,MALAYALAM,MANIPURI ,MARATHI ,NEPALI ,ODIA ,PUNJABI ,SANSKRIT ,SINDHI,TAMIL ,TELUGU ,URDU,ADI ,ARABIC/ARBI ,BHOTIA ,COORGI/KODAGU ,ENGLISH ,KHASI ,KUKI,KURUKH/ORAON ,LAHNDA ,Others ,LUSHAI/MIZO ,MARAM,MUNDA,MUNDARI ,NISSI/DAFLA ,SAVARA,TIBETAN ,TULU ,OTHERS,SANTALI ,AFGHANI/KABULI/PASHTO ,ANAL ,ANGAMI ,AO ,BHILI/BHILODI ,BHUMIJ ,CHAKRU/CHOKRI ,DIMASA ,GANGTE ,GARO ,GONDI,HALAM ,HMAR,HO,KABUI ,KARBI/MIKIR ,KHANDESHI,KHARIA ,KHEZHA ,KISAN ,KOCH ,KODA/KORA ,KOM,KONDA,KORKU ,KORWA ,KUI ,LADAKHI ,LAHAULI ,LAKHER,LEPCHA ,LIMBU ,LOTHA ,MAO,MARING ,MISHMI ,MOGH ,MONPA ,NICOBARESE ,PAITE,PARJI ,POCHURY,RABHA ,RENGMA ,SANGTAM ,SEMA,TANGKHUL ,THADO ,TRIPURI ,VAIPHEI ,ZELIANG ,ZEMI ,KINNAURI ,MALTO ,RAI ,TAMANG ,CHAKHESANG ,CHANG ,HALABI,KOLAMI ,MIRI/MISHING,SHERPA ,TANGSA,YIMCHUNGRE,BISHNUPURIYA,DEORI ,GADABA ,JATAPU ,KHIEMNUNGAN,KHOND/KONDH ,KONYAK ,NOCTE ,SHINA,WANCHO,ZOU ,KOYA ,LIANGMEI ,PHOM ,BALTI ,PAWI ,JUANG ,LALUNG 
HARYANA,2538,56709,56,1749.0,6340,3,7875502,2873,5946.0,393,18118.0,13257,461.0,10677,13697,11727,735073,405.0,1624.0,11343,8522,46283,125.0,390.0,42.0,16.0,3031,18.0,14.0,475.0,9414.0,7.0,83.0,0.0,858.0,89.0,49.0,25.0,230.0,57.0,1993,75.0,214.0,0.0,7.0,0.0,291.0,1.0,0.0,4.0,1.0,8.0,37.0,3.0,5.0,22.0,6.0,1.0,50.0,105.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,892.0,7.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,13.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,14.0,12.0,19.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,7.0,2.0,3.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
HIMACHAL PRADESH,341,2131,113,1756.0,804,24,569425,185,2672.0,34,1610.0,625,92.0,1228,13137,1526,69424,79.0,20.0,452,569,1575,52.0,29.0,294.0,1.0,316,12.0,72.0,449.0,67.0,4.0,166.0,0.0,57.0,53.0,5.0,0.0,11550.0,14.0,809,37.0,170.0,14.0,4.0,28.0,20.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.0,1.0,4.0,0.0,14.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,106.0,8.0,0.0,109.0,3182.0,9.0,1.0,0.0,12.0,11.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,1.0,10.0,0.0,0.0,0.0,2939.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
JAMMU & KASHMIR,5786,12846,387,652815.0,9835,5,351805,4578,2139764.0,51,582.0,7516,1216.0,14823,5819,6912,126598,26.0,17.0,10196,9773,11347,12.0,7.0,23892.0,6.0,484,134.0,78.0,158.0,3990.0,9.0,226.0,0.0,72.0,36.0,14.0,0.0,16165.0,15.0,1548,106.0,5258.0,11.0,0.0,12.0,65.0,0.0,0.0,2.0,20.0,29.0,14.0,6.0,10.0,16.0,5.0,5.0,1914.0,13.0,12.0,1.0,0.0,1.0,7.0,1.0,3.0,0.0,0.0,2899.0,3.0,6.0,2.0,0.0,16.0,4.0,0.0,3.0,0.0,8.0,1.0,22.0,0.0,0.0,3.0,1.0,1.0,11.0,3.0,32.0,113.0,5.0,0.0,2.0,72.0,3.0,1.0,11.0,1.0,0.0,0.0,0.0,10.0,21.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,1475.0,2.0,3.0,0.0,0.0,0.0,1455.0,0.0,0.0,0.0
JHARKHAND,742,784957,32,186.0,13904,1,5370137,1057,122.0,211,119498.0,5838,235.0,4299,15554,157063,75897,589.0,1651.0,9380,29295,904269,29.0,677.0,0.0,6.0,2053,3.0,2.0,84624.0,29.0,5.0,22.0,0.0,1818.0,75085.0,6.0,5.0,1.0,6.0,3268,168363.0,8.0,6.0,3.0,1.0,175.0,1042.0,0.0,0.0,0.0,1.0,220.0,2.0,0.0,89645.0,0.0,1.0,8.0,9762.0,0.0,29.0,1.0,19.0,0.0,1.0,0.0,601.0,2.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,6.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,15.0,1.0,0.0,0.0,0.0,558.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KARNATAKA,6887,66368,256,718.0,103533,1,925139,11610128,2555.0,430922,1647.0,434105,3800.0,827184,15334,47907,24896,1016.0,16868.0,1777550,1951506,4476220,104.0,607.0,400.0,34087.0,21536,261.0,107.0,167.0,274.0,616.0,425.0,1.0,148.0,55.0,19.0,59.0,3230.0,605865.0,229955,235.0,27.0,12.0,55.0,56.0,954.0,9.0,13.0,18.0,10.0,36.0,860.0,7.0,24.0,23.0,44.0,31.0,3.0,48.0,11.0,3.0,3.0,142.0,61.0,7.0,4.0,122.0,4.0,88.0,0.0,46.0,19.0,4.0,43.0,32.0,6.0,2.0,33.0,135.0,3.0,117.0,0.0,6.0,2.0,5.0,1.0,57.0,206.0,131.0,96.0,38.0,0.0,7.0,20.0,6.0,0.0,3.0,2.0,2.0,63.0,0.0,8.0,5.0,31.0,3.0,15.0,17.0,4.0,6.0,6.0,7.0,4.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KERALA,2743,16776,14,197.0,4358,74,39500,28800,544.0,53137,190.0,15545968,353.0,7700,2639,6835,1202,183.0,1242.0,156260,17702,9120,9.0,129.0,5.0,45.0,3329,7.0,13.0,33.0,0.0,1.0,17.0,0.0,14.0,20.0,4.0,8.0,7.0,33220.0,2016,42.0,10.0,1.0,3.0,4.0,271.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,4.0,1.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,4.0,7.0,16.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,1.0,64.0,1.0,74.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAKSHADWEEP,1,131,5,0.0,21,1,143,16,0.0,1,0.0,40394,0.0,21,4,27,4,0.0,7.0,219,38,32,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9260,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MADHYA PRADESH,1754,64311,71,772.0,109460,6,18080923,2413,671.0,632,3176.0,34599,934.0,475822,7972,13031,97591,1020.0,241831.0,18518,20484,762873,71.0,898.0,25.0,15.0,1918,11.0,70.0,3040.0,933.0,17.0,169.0,4.0,145.0,405.0,12.0,4.0,6.0,72.0,6021,180.0,12.0,13.0,23.0,16.0,71713.0,1.0,0.0,11.0,8.0,17.0,27314.0,1.0,1.0,51.0,3.0,4.0,13075.0,56.0,1.0,3.0,1.0,0.0,5.0,3.0,3691.0,124.0,0.0,50.0,0.0,9.0,19.0,0.0,13.0,7.0,1.0,2.0,2.0,6.0,0.0,11.0,0.0,0.0,9.0,1.0,6.0,23.0,5.0,5.0,23.0,8.0,5.0,5.0,8.0,0.0,2.0,0.0,5.0,0.0,137.0,0.0,0.0,0.0,3.0,0.0,13.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
MAHARASHTRA,10322,354970,266,1123.0,2239594,7,10417018,488979,6723.0,240459,44405.0,350928,3260.0,27487142,67316,125503,268350,3555.0,704915.0,489641,910133,5899606,109.0,1530.0,90.0,425.0,104808,236.0,228.0,1461.0,2869.0,620.0,360.0,8.0,463.0,262.0,40.0,50.0,212.0,117467.0,68166,1195.0,135.0,8.0,43.0,43.0,166399.0,37.0,6.0,26.0,15.0,117.0,34658.0,7.0,8.0,487.0,55.0,21.0,175015.0,256.0,17.0,27.0,14.0,34.0,28.0,14.0,6136.0,1256.0,0.0,13.0,4.0,34.0,9.0,15.0,14.0,18.0,2.0,16.0,15.0,8.0,0.0,92.0,12.0,3.0,28.0,0.0,1.0,64.0,157.0,70.0,106.0,13.0,2.0,65.0,30.0,6.0,95.0,40.0,1.0,22.0,16407.0,1642.0,14.0,6.0,11.0,11.0,10.0,4.0,8.0,0.0,0.0,28.0,8.0,0.0,10.0,3.0,0.0,0.0,74.0,1.0,17.0,1.0,0.0,0.0
MANIPUR,826,5471,63,178.0,64,1,16502,167,4.0,8,98.0,618,688466.0,225,6555,337,709,1.0,0.0,1148,433,79,11.0,3.0,2.0,1.0,93,79.0,5381.0,8.0,0.0,2.0,1703.0,69.0,3.0,1.0,4.0,0.0,1.0,2.0,2796,3.0,0.0,545.0,30.0,66.0,0.0,0.0,1.0,9.0,1321.0,19.0,2.0,3.0,8070.0,0.0,30190.0,16.0,1.0,3.0,12.0,0.0,0.0,0.0,957.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,11.0,786.0,418.0,0.0,1.0,5.0,2.0,4677.0,0.0,0.0,5.0,2.0,0.0,7.0,29758.0,15735.0,64.0,3151.0,3.0,1109.0,0.0,0.0,0.0,14.0,7.0,1.0,0.0,0.0,0.0,2.0,10.0,309.0,204.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,0.0,8.0,2241.0,0.0,2234.0,13.0,0.0,0.0,0.0,0.0
